Connected with result code qos: 0
ite/yellow 0 b'{"timestamp": "2024-11-12T13:51:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:50:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:51:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:52:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:53:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:54:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:50:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:51:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:52:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:50:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:49:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 27}'
